t,x0,x1,x2,x3
0,0.5,0,0,1.73205
0.0942478,0.482492,0.161345,-0.3662,1.67244
0.188496,0.432799,0.312114,-0.675408,1.51392
0.282743,0.357878,0.445009,-0.899821,1.30099
0.376991,0.265781,0.556943,-1.04212,1.07466
0.471239,0.16348,0.647955,-1.11962,0.859831
0.565487,0.056176,0.719723,-1.1512,0.667204
0.659734,-0.0525552,0.774497,-1.15205,0.499175
0.753982,-0.160357,0.814544,-1.13295,0.354308
0.84823,-0.265716,0.841922,-1.10116,0.229817
0.942478,-0.367674,0.85841,-1.06143,0.122717
1.03673,-0.465641,0.865514,-1.01688,0.0302761
1.13097,-0.559263,0.864503,-0.969514,-0.0498466
1.22522,-0.648343,0.856444,-0.92065,-0.119598
1.31947,-0.732782,0.842235,-0.871137,-0.180577
1.41372,-0.812546,0.82264,-0.821521,-0.23409
1.50796,-0.887643,0.798311,-0.77215,-0.281205
1.60221,-0.958107,0.769807,-0.723237,-0.322795
1.69646,-1.02399,0.737616,-0.674905,-0.359579
1.79071,-1.08534,0.702161,-0.627217,-0.392151
1.88496,-1.14224,0.663814,-0.580195,-0.421002
1.9792,-1.19473,0.622908,-0.533836,-0.446541
2.07345,-1.24288,0.579736,-0.488116,-0.469109
2.1677,-1.28676,0.534567,-0.442999,-0.488992
2.26195,-1.3264,0.48764,-0.398442,-0.506429
2.35619,-1.36188,0.439178,-0.354396,-0.52162
2.45044,-1.39322,0.389383,-0.31081,-0.534734
2.54469,-1.42048,0.338444,-0.267629,-0.545908
2.63894,-1.44368,0.286539,-0.224798,-0.555257
2.73319,-1.46286,0.233835,-0.182263,-0.562875
2.82743,-1.47804,0.180491,-0.139967,-0.568836
2.92168,-1.48925,0.126662,-0.0978552,-0.573196
3.01593,-1.49649,0.0724954,-0.0558723,-0.575998
3.11018,-1.49978,0.0181371,-0.013963,-0.577266
3.20442,-1.49912,-0.0362689,0.027928,-0.577012
3.29867,-1.49452,-0.0905793,0.0698557,-0.575235
3.39292,-1.48595,-0.14465,0.111875,-0.571918
3.48717,-1.47342,-0.198334,0.154042,-0.567029
3.58142,-1.45691,-0.251482,0.196412,-0.560523
3.67566,-1.43639,-0.303937,0.239039,-0.552337
3.76991,-1.41184,-0.355539,0.281981,-0.542391
3.86416,-1.38323,-0.406117,0.325291,-0.530584
3.95841,-1.35051,-0.45549,0.369024,-0.516795
4.05265,-1.31365,-0.503464,0.413235,-0.500875
4.1469,-1.2726,-0.54983,0.457973,-0.482647
4.24115,-1.22731,-0.594361,0.503287,-0.461897
4.3354,-1.17772,-0.636809,0.549217,-0.438373
4.42965,-1.12376,-0.676896,0.595795,-0.411772
4.52389,-1.06539,-0.714318,0.643039,-0.38173
4.61814,-1.00253,-0.748729,0.690946,-0.347813
4.71239,-0.935131,-0.779741,0.739482,-0.309498
4.80664,-0.863127,-0.80691,0.788565,-0.266154
4.90088,-0.786477,-0.829728,0.838046,-0.217012
4.99513,-0.705154,-0.847605,0.887674,-0.16114
5.08938,-0.619162,-0.859855,0.937045,-0.0973948
5.18363,-0.528553,-0.865672,0.985522,-0.0243799
5.27788,-0.433454,-0.864106,1.03213,0.0596139
5.37212,-0.334108,-0.854026,1.07534,0.156661
5.46637,-0.230936,-0.834088,1.11283,0.269237
5.56062,-0.124634,-0.802699,1.14103,0.400184
5.65487,-0.0163189,-0.757984,1.15443,0.552496
5.74911,0.09225,-0.697804,1.14474,0.728686
5.84336,0.198356,-0.619858,1.09976,0.929277
5.93761,0.297923,-0.522005,1.00286,1.14971
6.03186,0.38515,-0.402967,0.834742,1.37518
6.12611,0.452561,-0.263573,0.581127,1.57516
6.22035,0.492156,-0.10826,0.24807,1.70509
6.3146,0.498029,0.0543425,-0.125252,1.72524
6.40885,0.469216,0.213225,-0.477717,1.6286
6.5031,0.410226,0.358632,-0.759997,1.44668
6.59734,0.328709,0.484697,-0.955663,1.22546
6.69159,0.23252,0.589543,-1.07417,1.00101
6.78584,0.128062,0.673909,-1.1344,0.792918
6.88009,0.0199534,0.739754,-1.15428,0.608485
6.97434,-0.0886815,0.789375,-1.14748,0.448438
7.06858,-0.195805,0.824984,-1.12349,0.310697
7.16283,-0.300115,0.848548,-1.08862,0.192327
7.25708,-0.400794,0.861753,-1.047,0.0903987
7.35133,-0.497343,0.866022,-1.00133,0.00230373
7.44557,-0.589468,0.862552,-0.953343,-0.0741639
7.53982,-0.677008,0.85235,-0.904185,-0.140829
7.63407,-0.759889,0.836267,-0.854589,-0.199187
7.72832,-0.838095,0.815027,-0.805024,-0.25046
7.82257,-0.911643,0.789248,-0.755788,-0.295644
7.91681,-0.980574,0.759465,-0.707058,-0.335559
8.01106,-1.04494,0.726141,-0.658935,-0.370878
8.10531,-1.1048,0.689682,-0.611468,-0.40216
8.19956,-1.16022,0.650448,-0.564669,-0.429865
8.2938,-1.21126,0.608755,-0.518527,-0.454378
8.38805,-1.25798,0.56489,-0.473012,-0.476022
8.4823,-1.30044,0.519109,-0.428087,-0.495065
8.57655,-1.33869,0.471647,-0.383706,-0.511733
8.6708,-1.37278,0.422718,-0.339819,-0.526215
8.76504,-1.40276,0.372521,-0.296374,-0.538668
8.85929,-1.42866,0.321241,-0.253316,-0.549222
8.95354,-1.45052,0.269051,-0.21059,-0.557985
9.04779,-1.46836,0.216117,-0.16814,-0.565043
9.14203,-1.48222,0.162595,-0.125912,-0.570465
9.23628,-1.4921,0.108637,-0.0838493,-0.574302
9.33053,-1.49803,0.0543901,-0.0418971,-0.57659
9.42478,-1.5,-4.48714e-15,2.37165e-15,-0.57735
9.51903,-1.49803,-0.0543901,0.0418971,-0.57659
9.61327,-1.4921,-0.108637,0.0838493,-0.574302
9.70752,-1.48222,-0.162595,0.125912,-0.570465
9.80177,-1.46836,-0.216117,0.16814,-0.565043
9.89602,-1.45052,-0.269051,0.21059,-0.557985
9.99026,-1.42866,-0.321241,0.253316,-0.549222
10.0845,-1.40276,-0.372521,0.296374,-0.538668
10.1788,-1.37278,-0.422718,0.339819,-0.526215
10.273,-1.33869,-0.471647,0.383706,-0.511733
10.3673,-1.30044,-0.519109,0.428087,-0.495065
10.4615,-1.25798,-0.56489,0.473012,-0.476022
10.5558,-1.21126,-0.608755,0.518527,-0.454378
10.65,-1.16022,-0.650448,0.564669,-0.429865
10.7442,-1.1048,-0.689682,0.611468,-0.40216
10.8385,-1.04494,-0.726141,0.658935,-0.370878
10.9327,-0.980574,-0.759465,0.707058,-0.335559
11.027,-0.911643,-0.789248,0.755788,-0.295644
11.1212,-0.838095,-0.815027,0.805024,-0.25046
11.2155,-0.759889,-0.836267,0.854589,-0.199187
11.3097,-0.677008,-0.85235,0.904185,-0.140829
11.404,-0.589468,-0.862552,0.953343,-0.0741639
11.4982,-0.497343,-0.866022,1.00133,0.00230373
11.5925,-0.400794,-0.861753,1.047,0.0903987
11.6867,-0.300115,-0.848548,1.08862,0.192327
11.781,-0.195805,-0.824984,1.12349,0.310697
11.8752,-0.0886815,-0.789375,1.14748,0.448438
11.9695,0.0199534,-0.739754,1.15428,0.608485
12.0637,0.128062,-0.673909,1.1344,0.792918
12.158,0.23252,-0.589543,1.07417,1.00101
12.2522,0.328709,-0.484697,0.955663,1.22546
12.3465,0.410226,-0.358632,0.759997,1.44668
12.4407,0.469216,-0.213225,0.477717,1.6286
12.535,0.498029,-0.0543425,0.125252,1.72524
12.6292,0.492156,0.10826,-0.24807,1.70509
12.7235,0.452561,0.263573,-0.581127,1.57516
12.8177,0.38515,0.402967,-0.834742,1.37518
12.9119,0.297923,0.522005,-1.00286,1.14971
13.0062,0.198356,0.619858,-1.09976,0.929277
13.1004,0.09225,0.697804,-1.14474,0.728686
13.1947,-0.0163189,0.757984,-1.15443,0.552496
13.2889,-0.124634,0.802699,-1.14103,0.400184
13.3832,-0.230936,0.834088,-1.11283,0.269237
13.4774,-0.334108,0.854026,-1.07534,0.156661
13.5717,-0.433454,0.864106,-1.03213,0.0596139
13.6659,-0.528553,0.865672,-0.985522,-0.0243799
13.7602,-0.619162,0.859855,-0.937045,-0.0973948
13.8544,-0.705154,0.847605,-0.887674,-0.16114
13.9487,-0.786477,0.829728,-0.838046,-0.217012
14.0429,-0.863127,0.80691,-0.788565,-0.266154
14.1372,-0.935131,0.779741,-0.739482,-0.309498
14.2314,-1.00253,0.748729,-0.690946,-0.347813
14.3257,-1.06539,0.714318,-0.643039,-0.38173
14.4199,-1.12376,0.676896,-0.595795,-0.411772
14.5142,-1.17772,0.636809,-0.549217,-0.438373
14.6084,-1.22731,0.594361,-0.503287,-0.461897
14.7027,-1.2726,0.54983,-0.457973,-0.482647
14.7969,-1.31365,0.503464,-0.413235,-0.500875
14.8911,-1.35051,0.45549,-0.369024,-0.516795
14.9854,-1.38323,0.406117,-0.325291,-0.530584
15.0796,-1.41184,0.355539,-0.281981,-0.542391
15.1739,-1.43639,0.303937,-0.239039,-0.552337
15.2681,-1.45691,0.251482,-0.196412,-0.560523
15.3624,-1.47342,0.198334,-0.154042,-0.567029
15.4566,-1.48595,0.14465,-0.111875,-0.571918
15.5509,-1.49452,0.0905793,-0.0698557,-0.575235
15.6451,-1.49912,0.0362689,-0.027928,-0.577012
15.7394,-1.49978,-0.0181371,0.013963,-0.577266
15.8336,-1.49649,-0.0724954,0.0558723,-0.575998
15.9279,-1.48925,-0.126662,0.0978552,-0.573196
16.0221,-1.47804,-0.180491,0.139967,-0.568836
16.1164,-1.46286,-0.233835,0.182263,-0.562875
16.2106,-1.44368,-0.286539,0.224798,-0.555257
16.3049,-1.42048,-0.338444,0.267629,-0.545908
16.3991,-1.39322,-0.389383,0.31081,-0.534734
16.4934,-1.36188,-0.439178,0.354396,-0.52162
16.5876,-1.3264,-0.48764,0.398442,-0.506429
16.6819,-1.28676,-0.534567,0.442999,-0.488992
16.7761,-1.24288,-0.579736,0.488116,-0.469109
16.8704,-1.19473,-0.622908,0.533836,-0.446541
16.9646,-1.14224,-0.663814,0.580195,-0.421002
17.0588,-1.08534,-0.702161,0.627217,-0.392151
17.1531,-1.02399,-0.737616,0.674905,-0.359579
17.2473,-0.958107,-0.769807,0.723237,-0.322795
17.3416,-0.887643,-0.798311,0.77215,-0.281205
17.4358,-0.812546,-0.82264,0.821521,-0.23409
17.5301,-0.732782,-0.842235,0.871137,-0.180577
17.6243,-0.648343,-0.856444,0.92065,-0.119598
17.7186,-0.559263,-0.864503,0.969514,-0.0498466
17.8128,-0.465641,-0.865514,1.01688,0.0302761
17.9071,-0.367674,-0.85841,1.06143,0.122717
18.0013,-0.265716,-0.841922,1.10116,0.229817
18.0956,-0.160357,-0.814544,1.13295,0.354308
18.1898,-0.0525552,-0.774497,1.15205,0.499175
18.2841,0.056176,-0.719723,1.1512,0.667204
18.3783,0.16348,-0.647955,1.11962,0.859831
18.4726,0.265781,-0.556943,1.04212,1.07466
18.5668,0.357878,-0.445009,0.899821,1.30099
18.6611,0.432799,-0.312114,0.675408,1.51392
18.7553,0.482492,-0.161345,0.3662,1.67244
18.8496,0.5,3.03653e-14,-7.27574e-14,1.73205
